Année réf,UAI,Etablissement de rattachement,Numéro de l'appel à candidatures,Section 1,Section 2,Section 3,Section 4,Section 5,Section 6,Date prise de fonction,Date ouverture candidature,Date cloture candidature,Profil appel à candidatures,Job profile,Research fiels EURAXESS,Localisation appel à candidatures,Quotité du poste,Etat du poste,Type du poste
2025,0020087J,INST.SUP.DES SCIENCES ET TECN.,INSSET6160,61,60,,,,,01/09/2025,17/03/2025,10/04/2025, GENIE INDUSTRIEL, INDUSTRIAL ENGINEERING,"Industrial engineering - Engineering
",SAINT QUENTIN,P,V,ATER
2025,0021964Z,UNIVERSITE D'AMIENS (IUT AISNE),62IUTAISN,62,,,,,,01/09/2025,26/03/2025,15/04/2025,"  Energétique, génie des procédés",  Chemical engineering,"Chemical engineering - Engineering
",SAINT QUENTIN,P,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,1,1,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en Droit privé,Private Law,"Private law - Juridical sciences
",,P,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,10,4,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en Science politique,PoliticalScience,"Political sciences - 
Juridical sciences - 
",,M,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,11,5,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en analyse économique,Economic analysis,"Applied economics - Economics
",,P,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,12,5,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en microéconomie,Microeconomics,"Microeconomics - Economics
",,M,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,13,5,,,,,,01/09/2025,25/03/2025,24/04/2025,"ATER en macroéconomie
",Macroeconomics,"Macroeconomics - Economics
",,M,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,14,5,,,,,,01/09/2025,25/03/2025,24/04/2025,"ATER en Economie
",International economics,"International economics - Economics
",,M,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,15,6,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en Système d’Information de Gestion,Management Information System,"Engineering - 
Information science - 
Informatics - Computer science
",,P,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,16,6,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en Communication responsable,Responsible communication,"Business communication - Communication sciences
Management studies - Economics
",,P,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,17,6,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en Sciences de Gestion et du Management,Management Sciences,"Other - 
Management studies - Economics
",,M,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,18,6,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en Sciences de Gestion et du Management,Management Sciences,"Other - 
Management studies - Economics
",,M,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,19,9,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en langue et littérature françaises ,French Literary Studies,"Cultural studies - 
Literature - 
Language sciences - 
",,P,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,2,1,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en Droit privé,Private Law,"Private law - Juridical sciences
",,M,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,20,11,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en littérature britannique et traduction,British literature and translation,"Visual arts - Arts
European literature - Literature
Languages - Language sciences
Anglo Saxon studies - Cultural studies
",,P,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,21,14,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en Art et image Espagne,Arts and images Spain,"Art history - History
European studies - Cultural studies
Contemporary history - History
Languages - Language sciences
Visual arts - Arts
",,P,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,22,15,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en Arabe,Arabic,"Contemporary history - History
Arabic studies - Cultural studies
Languages - Language sciences
",,P,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,23,16,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en Psychologie du développement ,Developmental psychology,"Psychology - Psychological sciences
",,P,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,24,16,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en Psychologie Intégrative,Integrative Psychology,"Psychoanalytic studies - Psychological sciences
Psychology - Psychological sciences
",,P,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,25,16,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en Psychologie clinique du développement,Clinical psychology of development,"Psychology - Psychological sciences
",,P,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,26,16,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en Psychologie sociale,Social psychology,"Psychology - Psychological sciences
",,P,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,27,17,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en Philosophie générale et Méthodologie ,General Philosophy and Methodology ,"Philosophy - 
",,P,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,28,18,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en Études théâtrales,Theatre Studies ,"Media studies - Communication sciences
Performing arts - Arts
",,P,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,29,19,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en sociologie,Sociology,"Sociology - 
",,M,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,3,1,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en Droit privé,Private Law,"Private law - Juridical sciences
",,M,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,30,19,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en Sociologie,Sociology,"Sociology - 
",,P,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,31,20,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en Archéologie de la Préhistoire Paléolithique,Archaeology of Paleolithic Prehistory,"Archaeology - History
",,P,V,ATER
2025,0062205P,UNIVERSITE COTE D'AZUR,32,20,,,,,,01/09/2025,25/03/2025,24/04/2025,ATER en Ethnologie-anthropologie: anthropologie des questions territoriales et des transitions écologiques ,Ethnology-anthropology: anthropology of territorial issues and ecological transitions,"Anthropology - 
",,P,V,ATER
